,Course Number,Course Title,L,P,U
0,BIO F110,Biology laboratory,0,2,1
1,BIO F111,General Biology,3,0,3
2,BIO F211,Biological Chemistry,3,0,3
3,BIO F212,Microbiology,3,1,4
4,BIO F213,Cell Biology,3,0,3
5,BIO F214,Integrated Biology,3,0,3
6,BIO F215,Biophysics,3,0,3
7,BIO F216,"Water, Sanitation and Solid Waste Management",3,0,3
8,BIO F217,"Laboratory for Water, Sanitation and Solid waste Management",1,2,3
9,BIO F231,Biology Project Laboratory,0,0,3
10,BIO F241,Ecology & Environmental Science,3,0,3
11,BIO F242,Introduction to Bioinformatics,3,0,3
12,BIO F243,Genetics,3,0,3
13,BIO F244,Instrumental Methods of Analysis,1,3,4
14,BIO F311,Recombinant DNA Technology,3,0,3
15,BIO F312,Plant Physiology,3,0,3
16,BIO F313,Animal Physiology,3,0,3
17,BIO F314,Conservation Biology,2,1,3
18,BIO F315,Applied Nutrition and Nutraceuticals,2,0,2
19,BIO F341,Developmental Biology,3,0,3
20,BIO F342,Immunology,3,0,3
21,BIO F352,Cell and Tissue Culture Technology,3,1,4
22,BIO F411,Laboratory,0,3,3
23,BIO F413,Molecular Biology of Cell,3,0,3
24,BIO F417,Biomolecular Modelling,3,0,3
25,BIO F418,Genetic Engineering Techniques,1,3,4
26,BIO F419,Molecular Evolution,3,0,3
27,BIO F421,Enzymology,3,0,3
28,BIO F431,Reproductive Physiology,3,0,3
29,BIO F441,Biochemical Engineering,3,0,3
30,BIO F451,Bioprocess Technology,3,0,3
31,BIO G512,Molecular Mechanism of Gene Expression,3,2,5
32,BIO G513,Microbial and Fermentation Technology,3,2,5
33,BIO G515,Stem Cell and Regenerative Biology,3,1,4
34,BIO G522,Interferon Technology,3,1,4
35,BIO G523,Advanced and Applied Microbiology,3,2,5
36,BIO G524,Animal Cell Technology,3,2,5
37,BIO G525,Environmental Biotechnology & Waste Mgnt,3,2,5
38,BIO G526,Cancer Biology,3,2,5
39,BIO G544,Bioremediation and biometallurgy,5,0,5
40,BIO G545,Molecular Parasitology and Vector Biology,0,0,5
41,BIO G561,Advances in Recombinant DNA Technology,3,2,5
42,BIO G570,Recent Developments in Biology,1,0,1
43,BIO G612,Human Genetics,3,2,5
44,BIO G631,Membrane and Liposome Technology,3,1,4
45,BIO G632,Transgenic Technology,3,2,5
46,BIO G642,Experimental Techniques,0,4,4
47,BIO G643,Plant Biotechnology,3,2,5
48,BIO G651,Protein and Enzyme Bioengineering,3,2,5
49,BIO G661,Gene Toxicology,3,1,4
50,BIO G671,Bioconversion Technology,3,2,5
51,BIOT F211,Biological Chemistry,3,0,3
52,BIOT F212,Microbiology,3,1,4
53,BIOT F213,Cell biology,3,0,3
54,BIOT F215,Biophysics,3,0,3
55,BIOT F241,Genetic Engineering Techniques,1,3,4
56,BIOT F242,Introduction to Bioinformatics,3,0,3
57,BIOT F243,Genetics,3,0,3
58,BIOT F244,Instrumental Methods of Analysis,1,3,4
59,BIOT F245,Intro to Environmental Biotechnology,3,0,3
60,BIOT F311,Recombinant DNA Technology,3,0,3
61,BIOT F314,Industrial Microbiology and Bioprocess Engineering,2,2,4
62,BIOT F342,Immunology,3,0,3
63,BIOT F343,Experiments in Biotechnology,0,3,3
64,BIOT F344,Downstream Processing,2,1,3
65,BIOT F345,Proteomics,3,0,3
66,BIOT F346,Genomics,3,0,3
67,BIOT F347,Immunotechnology,3,0,3
68,BIOT F352,Cell and Tissue Culture Technology,3,0,3
69,BIOT F413,Molecular Biology of the Cell,3,0,3
70,BIOT F416,Introduction to Pharmaceutical Biotechnology,3,0,3
71,BIOT F417,Biomolecular Modeling,3,0,3
72,BIOT F420,Introduction to Plant Biotechnology,3,0,3
73,BIOT F422,Nanobiotechnology,3,0,3
74,BIOT F423,Drug design and delivery,3,0,3
75,BIOT F424,Food Biotechnology,3,0,3
76,BITS C483,Indian Wisdom for Modern Management,3,0,3
77,BITS F110,Engineering Graphics,1,2,2
78,BITS F111,Thermodynamics,3,0,3
79,BITS F112,Technical Report Writing,2,0,2
80,BITS F113,General Mathematics I,3,0,3
81,BITS F114,General Mathematics II,3,0,3
82,BITS F211,Introduction to IPR,0,0,1
83,BITS F212,Introduction to Human Rights,0,0,1
84,BITS F213,Introduction to Environmental studies,0,0,1
85,BITS F214,"Science, Technology and Modernity",3,0,3
86,BITS F215,Applications of Bio-Medical Instrumentation Techniques in Healthcare,2,0,2
87,BITS F217,"Environment, Development and Climate Change",3,0,3
88,BITS F218,General Mathematics III,3,0,3
89,BITS F219,Process Engineering,2,1,3
90,BITS F221,Practice School I,0,0,5
91,BITS F225*,Environmental Studies,3,0,3
92,BITS F226,Soft Skills for Professionals,3,0,3
93,BITS F231,Practice School I,0,0,5
94,BITS F241,Practice School I,0,0,5
95,BITS F311,Image Processing,3,0,3
96,BITS F312,Neural Networks and Fuzzy Logic,3,0,3
97,BITS F313,Multicriterion Decision Making in Engg. and Management,3,0,3
98,BITS F314,Game Theory and It’s Applications,3,0,3
99,BITS F316,Nonlinear Dynamics and Chaos,3,0,3
100,BITS F317,Theoretical Neuroscience,3,0,3
101,BITS F319,Negotiation Skills and Techniques,2,0,2
102,BITS F320,Managerial Skills,0,0,2
103,BITS F321,Legal and Economic Environment of Business,0,0,4
104,BITS F327,Artificial Intelligence for Robotics,2,1,3
105,BITS F333,Project on Organisational Aspects,0,0,3
106,BITS F334,Project on Organisational Aspects,0,0,3
107,BITS F343,Fuzzy Logic and Applications,3,0,3
108,BITS F364,Human – Computer Interaction,3,0,3
109,BITS F372,Data Communications and Networks,3,0,3
110,BITS F381,TIC Projects,0,0,3
111,BITS F382,Reading Course,0,0,3
112,BITS F383,TIC Projects,0,0,3
113,BITS F385,Introduction to Gender Studies,3,0,3
114,BITS F386,Quantum Information and Computation,3,0,3
115,BITS F398,Creative Multimedia,2,2,3
116,BITS F399,Humanistic Theories of Science and Technology,3,0,3
117,BITS F412,Practice School II,0,0,20
118,BITS F413,Practice School II,0,0,20
119,BITS F414,Introduction to Bioinformatics,3,0,3
120,BITS F415,Introduction to MEMS,3,1,4
121,BITS F416,Introduction to Nanoscience,3,0,3
122,BITS F417,Microfluidics and its application,0,0,4
123,BITS F418,Introduction to Biomedical Engineering,3,1,4
124,BITS F419,Management of Cross Cultural Engineering Teams,3,0,3
125,BITS F421T,Thesis,0,0,16
126,BITS F422T,Thesis,0,0,16
127,BITS F423T,Thesis,0,0,9
128,BITS F424T,Thesis,0,0,9
129,BITS F428,Essentials of Strategic Management,3,0,3
130,BITS F429,Nanotechnology for Renewable Energy and Environment,3,1,4
131,BITS F431,Flexible Manufacturing Systems,3,2,3
132,BITS F441,Robotics,0,0,3
133,BITS F442,Remote Sensing and Image Processing,0,0,3
134,BITS F444,Artificial Intelligence,0,0,3
135,BITS F445,Neural Networks and Applications,3,0,3
136,BITS F446,Pattern Recognition 3EEE F426 Fibre Optics & Optoelectronics,3,0,3
137,BITS F447,Multimedia Computing,3,0,3
138,BITS F448,Retail Management Systems,3,0,3
139,BITS F449,Financial Engineering,3,0,3
140,BITS F461,Software Engineering,0,0,3
141,BITS F462,Renewable Energy,3,0,3
142,BITS F463,Cryptography,3,0,3
143,BITS F464,Machine Learning,3,0,3
144,BITS F465,Enterprise Computing,3,1,4
145,BITS F466,Service Oriented Computing,3,1,4
146,BITS F467,Bioethics and Biosafety,3,0,3
147,BITS F468,New Venture Creation,3,0,3
148,BITS F469,Financing Infrastructure Projects,3,0,3
149,BITS F488,Services Management Systems,3,0,3
150,BITS F490,Project Management,0,0,4
151,BITS F493,Business Analysis and Valuation,3,0,3
152,BITS F494,Environmental Impact Assessment,3,1,4
153,BITS G516,Introduction to Business Sustainability,3,0,3
154,BITS G517,Cross Cultural Management,3,0,3
155,CE F211,Mechanics of Solids,3,0,3
156,CE F213,Surveying,3,1,4
157,CE F230,Civil Engineering Materials,0,0,4
158,CE F231,Fluid Mechanics,0,0,3
159,CE F241,Analysis of Structures,3,0,3
160,CE F242,Construction Planning and Technology,3,0,3
161,CE F243,Soil Mechanics,3,1,4
162,CE F244,Highway Engineering,3,1,4
163,CE F312,Hydraulics Engineering,3,1,4
164,CE F313,Foundation Engineering,3,0,3
165,CE F320,Design of Reinforced Concrete Structures,0,0,3
166,CE F321,Engineering Hydrology,0,0,3
167,CE F323,Introduction to Environmental Engineering,3,0,3
168,CE F324,Numerical Analysis,3,0,3
169,CE F325,Fundamentals of Rock Mechanics,3,0,3
170,CE F342,Water & Waste Water Treatment,3,1,4
171,CE F343,Design of Steel Structures,3,0,3
172,CE F345,Computational Geomechanics,3,0,3
173,CE F411,Operation Research for Engineers,3,0,3
174,CE F412,Disaster Management,3,0,3
175,CE F413,Advanced Structural Design,3,0,3
176,CE F415,Design of Prestressed Concrete Structure,3,0,3
177,CE F416,Computer Applications in Civil Engineering,3,1,4
178,CE F417,Applications of Artificial Intelligence in Civil Engg.,3,0,3
179,CE F419,Geotechnical Earthquake Engg. and Machine Foundation,3,0,3
180,CE F420,Introduction to Bridge Engineering,3,0,3
181,CE F421,Analysis and Design of FRP Reinforced Concrete Structures,3,0,3
182,CE F422,Urban Hydrology,2,1,3
183,CE F423,Green Buildings and Energy Conservation,3,0,3
184,CE F425,"Airport, Railways and Waterways",3,0,3
185,CE F426,Geosynthetics and Reinforced Soil Structure,3,0,3
186,CE F427,System Modeling and Analysis,3,0,3
